Caswell Hall,Harkness House,Goddard House,Morriss Hall,Young Orchard #4,Young Orchard #2,Hope College,New Pembroke #3,Champlin,Grad Center B,Grad Center D,Grad Center A,Plantations House,Woolley,Slater Hall,Grad Center C,Chapin House,Gregorian Quad A,Diman House,Grad center D,New Pembroke #4,Barbour Hall,111 Brown Street,Minden,Olney House,Littlefield Hall,Emery,Grad Center d,New Pembroke #1,Gregorian Quad B,Barbour Hall Apartments,Hegeman,315 Thayer,Sears House,Young Orchard #10,Marcy House,Machado
44,9,30,4,13,12,39,9,5,17,102,16,9,26,15,17,15,76,12,1,21,14,6,48,7,24,16,2,17,53,27,24,18,16,10,14,12
44,9,29,4,13,12,39,8,5,17,102,16,9,24,15,17,15,76,12,1,19,13,6,48,7,24,15,2,17,50,27,24,13,16,10,14,12
44,9,29,4,13,12,39,7,5,17,101,16,8,24,15,17,15,72,12,1,17,13,6,47,7,24,13,2,17,44,27,24,10,16,10,14,12
44,9,29,4,13,12,39,7,5,17,101,16,6,21,15,17,15,71,12,1,17,13,6,47,6,24,12,2,17,40,27,24,7,16,10,14,12
44,9,29,4,13,12,39,7,4,17,101,16,5,19,15,17,15,62,12,1,17,13,6,47,6,24,12,2,17,37,26,24,5,16,10,14,11
44,9,29,4,13,8,39,7,4,17,101,16,5,16,15,17,15,61,12,1,16,13,6,47,5,24,12,2,17,29,25,24,5,16,10,14,11
44,9,29,4,13,7,39,7,1,17,101,16,5,12,15,17,15,59,12,1,16,13,6,46,5,24,9,2,17,27,25,24,3,14,10,14,10
44,9,27,4,9,6,39,6,1,17,98,16,5,9,15,17,15,58,12,1,16,13,6,45,5,24,9,2,17,27,25,23,3,13,10,14,9
44,9,20,4,9,6,39,4,0,17,98,16,5,7,15,17,15,58,12,1,16,13,6,43,5,24,4,2,17,26,24,23,2,13,10,14,5
44,9,17,4,9,6,39,4,0,17,97,16,5,1,15,17,15,57,12,1,15,13,6,43,5,24,4,2,17,25,23,21,1,13,10,14,4
44,9,16,4,9,6,39,2,0,17,96,16,5,1,15,17,14,55,12,1,14,13,6,43,5,24,1,2,17,25,23,20,1,12,10,14,3
44,9,15,4,9,4,39,0,0,17,96,16,5,1,15,17,14,53,12,1,6,13,6,43,5,24,0,2,17,25,23,20,1,12,10,14,3
44,9,12,4,9,4,39,0,0,17,92,16,5,1,14,17,14,53,12,1,1,13,6,43,5,24,0,2,17,25,23,20,1,12,10,14,3
44,9,11,4,9,4,39,0,0,17,85,16,4,1,14,17,13,53,12,1,0,13,6,43,5,24,0,2,17,25,23,19,1,12,10,14,3
44,9,11,4,8,2,39,0,0,17,75,16,4,1,14,17,13,52,12,1,0,13,6,42,5,24,0,2,17,25,23,17,1,12,10,14,3
44,9,11,4,4,2,39,0,0,17,72,16,4,0,14,17,13,52,12,1,0,13,6,40,5,24,0,2,17,24,23,16,1,12,10,14,3
44,9,11,4,4,2,39,0,0,17,68,16,4,0,13,17,13,48,12,1,0,13,6,39,5,24,0,1,17,22,23,16,1,12,9,14,3
44,9,11,4,3,2,39,0,0,16,58,16,4,0,13,17,13,46,12,1,0,13,6,39,5,24,0,1,17,19,23,16,1,12,8,14,3
44,9,11,4,3,2,39,0,0,16,58,16,4,0,13,17,13,46,12,1,0,13,6,39,5,24,0,1,17,18,23,16,1,12,8,14,3
44,9,11,4,3,2,39,0,0,16,58,16,4,0,13,17,13,46,12,1,0,13,6,39,5,24,0,1,17,17,23,16,1,12,8,14,3
44,9,11,4,3,2,39,0,0,16,58,16,4,0,12,16,13,41,12,1,0,13,6,37,5,24,0,1,17,14,23,15,0,11,8,14,3
44,9,11,4,3,2,39,0,0,16,49,16,4,0,12,16,13,35,12,1,0,13,6,36,5,24,0,0,17,11,23,14,0,11,7,14,3
44,9,11,4,3,2,39,0,0,16,48,16,4,0,12,16,13,35,12,1,0,13,6,36,5,24,0,0,17,11,23,14,0,11,7,14,3
44,9,11,4,3,2,39,0,0,16,47,16,4,0,12,16,13,35,12,1,0,13,6,36,5,24,0,0,17,11,23,14,0,11,7,14,3
44,9,11,4,3,2,39,0,0,16,47,16,4,0,12,16,13,35,12,1,0,13,6,35,5,24,0,0,17,11,23,14,0,11,7,14,3
44,9,11,4,3,2,39,0,0,16,47,16,4,0,12,16,13,35,12,1,0,13,6,34,5,24,0,0,17,11,23,14,0,11,7,14,3
44,9,11,3,2,2,39,0,0,16,43,16,4,0,11,16,13,29,12,1,0,13,6,31,5,24,0,0,17,9,23,10,0,11,5,14,3
44,9,11,3,0,2,39,0,0,16,37,16,4,0,11,16,13,27,12,0,0,13,6,30,5,24,0,0,17,7,21,4,0,11,4,14,3
44,9,11,3,0,2,39,0,0,16,24,14,4,0,10,16,13,25,12,0,0,13,6,29,5,24,0,0,17,4,21,1,0,11,2,14,3
44,9,11,3,0,2,39,0,0,16,24,14,4,0,10,16,13,25,12,0,0,13,6,29,5,24,0,0,17,4,21,1,0,11,1,14,3
44,9,11,3,0,2,39,0,0,16,24,14,4,0,10,16,13,25,12,0,0,13,6,29,5,24,0,0,17,4,21,1,0,11,0,14,3
44,9,11,3,0,1,39,0,0,16,7,13,4,0,10,15,13,19,12,0,0,13,6,26,5,24,0,0,17,4,21,0,0,11,0,14,3
44,9,11,3,0,0,39,0,0,16,1,9,4,0,9,15,13,19,12,0,0,12,6,21,5,24,0,0,17,4,18,0,0,11,0,14,3
44,9,11,3,0,0,39,0,0,16,1,9,4,0,9,15,13,19,12,0,0,12,6,21,5,24,0,0,17,4,17,0,0,11,0,14,3
44,9,11,3,0,0,39,0,0,16,0,9,4,0,9,15,13,19,12,0,0,12,6,21,5,24,0,0,17,4,17,0,0,11,0,14,3
44,9,11,3,0,0,39,0,0,16,0,9,4,0,8,15,13,19,12,0,0,12,6,17,5,24,0,0,17,4,14,0,0,11,0,13,3
44,9,11,3,0,0,39,0,0,14,0,7,4,0,6,13,13,18,12,0,0,12,6,17,5,24,0,0,17,4,13,0,0,10,0,13,3
44,9,11,2,0,0,39,0,0,11,0,5,4,0,3,12,13,18,12,0,0,12,6,16,4,24,0,0,17,4,13,0,0,10,0,13,3
44,9,11,2,0,0,39,0,0,10,0,4,3,0,2,12,13,18,12,0,0,12,6,15,4,24,0,0,17,4,12,0,0,10,0,13,3
44,9,11,2,0,0,39,0,0,10,0,3,3,0,1,12,13,18,12,0,0,12,6,15,4,24,0,0,17,4,12,0,0,10,0,13,3
44,9,11,2,0,0,31,0,0,10,0,3,3,0,1,12,13,18,11,0,0,12,6,13,4,24,0,0,16,4,11,0,0,10,0,13,3
44,9,11,2,0,0,31,0,0,10,0,3,3,0,1,12,13,18,11,0,0,12,6,12,4,24,0,0,16,4,11,0,0,10,0,13,3
44,9,11,1,0,0,28,0,0,9,0,3,3,0,0,12,13,13,11,0,0,10,6,12,4,24,0,0,12,4,10,0,0,10,0,13,3
37,8,11,0,0,0,28,0,0,9,0,3,3,0,0,12,13,13,10,0,0,10,5,11,4,24,0,0,7,4,9,0,0,10,0,13,3
30,8,11,0,0,0,25,0,0,8,0,3,2,0,0,12,13,10,10,0,0,10,5,9,4,24,0,0,5,4,7,0,0,10,0,11,3
30,8,11,0,0,0,24,0,0,8,0,3,2,0,0,12,13,10,10,0,0,10,5,9,4,24,0,0,5,4,7,0,0,10,0,11,3
19,7,11,0,0,0,24,0,0,5,0,3,2,0,0,11,12,7,9,0,0,10,5,7,4,24,0,0,3,4,7,0,0,10,0,11,3
18,7,11,0,0,0,24,0,0,5,0,3,2,0,0,11,12,7,9,0,0,10,5,7,4,24,0,0,3,4,7,0,0,10,0,11,3
17,7,11,0,0,0,24,0,0,5,0,3,2,0,0,11,12,7,9,0,0,10,5,7,4,24,0,0,3,4,7,0,0,10,0,11,3
16,7,11,0,0,0,24,0,0,5,0,3,2,0,0,11,12,7,9,0,0,10,5,7,4,24,0,0,3,4,7,0,0,10,0,11,3
7,7,10,0,0,0,24,0,0,3,0,2,2,0,0,9,12,2,9,0,0,9,5,6,4,23,0,0,2,4,6,0,0,10,0,11,3
6,7,10,0,0,0,24,0,0,3,0,2,2,0,0,9,12,2,9,0,0,9,5,6,4,23,0,0,2,4,6,0,0,10,0,11,3
2,5,8,0,0,0,15,0,0,3,0,1,2,0,0,8,10,2,8,0,0,8,1,5,4,18,0,0,2,4,5,0,0,9,0,11,3
2,5,8,0,0,0,14,0,0,3,0,1,2,0,0,8,10,2,8,0,0,8,1,5,4,18,0,0,2,4,5,0,0,9,0,11,3
2,5,8,0,0,0,9,0,0,1,0,0,2,0,0,4,10,2,5,0,0,6,0,5,4,16,0,0,2,1,4,0,0,9,0,11,3
2,5,8,0,0,0,9,0,0,1,0,0,2,0,0,3,10,2,5,0,0,6,0,5,4,16,0,0,2,1,4,0,0,9,0,11,3
0,5,8,0,0,0,7,0,0,0,0,0,2,0,0,0,10,1,5,0,0,3,0,5,4,14,0,0,2,0,3,0,0,9,0,11,3
0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,5,4,5,0,0,2,0,0,0,0,9,0,11,3
0,5,5,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,3,0,0,1,0,5,4,4,0,0,2,0,0,0,0,9,0,11,3
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9,0,6,2
0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,9,0,6,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
