room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
West Andrews 411,679,0,691,666,0,684,0,0
Grad center A 246,0,0,0,0,0,0,0,439
West Andrews 417,150,118,4,113,50,78,0,0
West Andrews 419,162,24,5,88,61,0,0,0
Grad Center A 640,289,699,589,559,402,396,415,0
Machado 38,0,0,450,604,324,245,0,0
Olney House 317,0,0,619,670,624,0,619,692
Morris Hall 201,574,331,0,0,0,0,0,0
Olney House 311,0,0,0,0,0,210,0,0
Goddard House 306B,387,405,387,407,277,375,196,0
Goddard House 306A,371,338,388,404,277,375,190,0
Hegeman C109,345,353,315,325,350,332,342,284
Hegeman C108,341,353,0,325,353,327,278,321
Young Orchard #4 120,144,251,269,173,113,309,323,295
Young Orchard #2 230,52,43,101,117,78,119,82,78
Diman House 229B,0,0,0,528,0,0,0,0
Diman House 229A,0,0,0,518,497,0,0,0
Everett House 224,0,386,0,0,0,0,0,0
Miller 401,0,0,0,0,61,74,0,0
Miller 403,0,0,0,0,61,116,0,0
Miller 405,0,0,0,0,155,114,0,0
Miller 407,0,0,0,0,40,74,0,0
Miller 409,0,0,0,0,121,169,0,0
Young Orchard #2 430,90,81,111,114,90,379,0,112
Everett House 316,407,423,516,549,426,415,0,0
Grad Center B 320,446,588,0,0,0,0,0,493
Young Orchard #10 230,133,141,180,263,162,384,289,250
New Pembroke #3 308,0,0,0,0,0,0,0,723
Grad Center C 620,371,584,587,398,494,608,533,0
Perkins Hall 244,0,0,0,0,0,0,0,776
Barbour Hall Apartments 310,325,0,282,0,323,0,373,0
East Andrews 360,4,48,127,106,91,72,0,0
East Andrews 362,121,186,105,177,91,83,0,0
Barbour Hall Apartments 220,629,606,539,542,387,382,386,654
Jameson House 219,466,236,496,501,414,538,0,0
Grad Center D 121,0,0,0,0,0,0,226,160
Hegeman A201,277,227,233,164,153,0,0,210
Hegeman A202,12,5,61,82,6,0,0,24
Hegeman A203,307,346,271,338,292,0,0,246
Grad Center D 125,0,0,0,0,0,0,312,427
Grad Center D 124,0,0,0,0,0,0,300,397
Minden 615,509,398,0,327,343,417,0,376
Minden 612,511,575,630,648,607,631,640,569
Caswell Hall 412,515,514,483,520,524,0,501,594
Caswell Hall 411,484,501,473,520,493,490,508,554
Caswell Hall 410,495,506,473,514,511,516,508,554
Grad Center D 235,0,0,0,0,0,0,299,256
Grad Center D 234,0,0,0,0,0,0,316,336
Grad Center D 231,0,0,0,0,0,0,203,179
Grad Center D 230,577,0,488,569,570,0,0,0
Grad Center D 233,0,0,0,0,0,0,204,53
Grad Center D 232,0,0,0,0,0,0,370,179
New Pembroke #1 402,536,508,601,557,509,483,495,92
Grad Center D 340,607,579,566,605,525,616,0,0
Grad Center D 343,0,0,0,0,0,0,354,139
New Pembroke #1 401,675,745,643,659,632,599,609,485
Woolley 206,351,0,337,349,334,315,17,0
New Pembroke #1 407,498,507,611,553,537,0,532,0
New Pembroke #1 404,540,502,611,572,513,480,502,103
Grad Center D 346,0,0,0,0,0,0,222,359
Jameson House 7,528,299,0,0,0,0,0,0
Poland House 201,369,377,454,393,348,375,0,0
Champlin 206,458,219,356,0,0,0,0,0
315 Thayer 430,0,0,0,0,0,0,67,22
Grad center A 426,0,0,0,0,0,0,0,205
Young Orchard #2 420,48,143,104,77,81,117,94,67
Gregorian Quad A 506,0,0,0,0,0,0,470,378
Woolley 118,439,420,342,412,27,224,0,0
Woolley 119,435,378,369,412,332,224,0,0
Woolley 116,435,430,351,391,217,224,0,0
Woolley 115,435,345,369,391,217,224,0,0
Woolley 113,435,345,295,365,110,218,54,0
Emery 420,420,280,0,271,183,107,26,0
Barbour Hall Apartments 80,352,421,500,515,383,514,476,703
Marcy House 319,645,664,656,634,592,673,622,731
315 Thayer 320,0,0,0,0,0,0,29,40
Marcy House 313,0,0,0,0,0,0,0,588
Marcy House 312,0,0,0,0,0,0,0,588
Marcy House 310,0,0,0,0,0,0,0,707
Marcy House 315,0,0,0,0,0,0,0,588
Marcy House 314,0,0,0,0,0,0,0,588
Wayland House 330,146,196,52,125,166,161,0,538
Wayland House 332,131,266,52,176,166,189,0,537
West Andrews 319,83,0,43,0,0,0,0,0
Wayland House 336,0,0,0,0,0,0,0,650
West Andrews 317,20,28,40,141,43,18,0,0
Wayland House 338,0,0,0,0,0,0,0,538
315 Thayer 220,0,0,0,0,0,0,55,0
Marcy House 225,598,694,526,623,385,0,0,623
Marcy House 221,602,542,642,641,0,0,605,707
Sears House 306B,307,387,165,372,270,0,0,0
Sears House 306A,299,201,123,372,230,0,0,0
Marcy House 228,0,0,355,276,235,0,0,0
West Andrews 403,77,135,21,148,46,92,0,0
West Andrews 401,160,19,0,182,85,92,0,0
West Andrews 407,181,160,150,195,85,101,0,0
East Andrews 422,105,135,150,76,26,32,0,0
West Andrews 405,38,135,168,0,0,101,0,0
East Andrews 420,37,58,149,36,8,16,0,0
Perkins Hall 315,0,0,0,0,0,0,0,778
Perkins Hall 316,0,0,0,0,0,0,0,647
Olney House 119,0,0,0,411,0,0,0,0
315 Thayer 130,0,0,0,0,0,0,44,34
Hope College 208,0,0,225,205,62,142,0,0
Hope College 106,0,0,161,206,207,177,467,0
Hope College 107,631,0,0,0,0,0,583,593
Hope College 108,33,0,0,99,118,156,466,539
Young Orchard #2 330,90,36,71,92,69,141,86,55
Morris Hall 301,463,511,0,0,0,0,0,0
Caswell Hall 310,0,0,0,578,511,539,511,602
Caswell Hall 311,510,490,476,536,503,539,511,602
Caswell Hall 312,543,545,534,536,0,0,0,602
Young Orchard #2 440,44,81,115,154,79,259,220,128
Barbour Hall Apartments 140,76,60,48,130,70,236,65,599
Perkins Hall 7,0,0,0,0,0,0,0,721
Grad Center B 330,110,84,0,357,311,0,262,338
Perkins Hall 6,0,0,0,0,0,0,0,721
Young Orchard #10 220,54,102,0,0,0,0,0,0
Perkins Hall 5,0,0,0,0,0,0,0,721
Grad Center d 446,0,0,0,0,0,0,247,0
Perkins Hall 4,0,0,0,0,0,0,0,721
Morriss Hall 120,0,0,15,266,0,0,0,0
Goddard House 400A,507,592,0,488,0,523,530,583
Grad Center C 140,591,603,657,587,616,644,578,0
Chapin House 400A,566,422,576,0,0,594,549,0
Chapin House 400B,385,515,0,0,508,518,518,670
Everett House 107,511,423,199,458,406,462,0,0
Barbour Hall Apartments 360,383,406,393,356,411,310,486,630
Grad Center B 240,573,598,622,592,463,629,514,381
Young Orchard #10 310,205,103,193,157,130,104,259,0
Slater Hall 102,0,533,513,345,0,0,189,76
Slater Hall 101,610,425,358,529,390,553,384,387
Slater Hall 106,34,0,63,59,0,47,12,15
Slater Hall 104,403,469,367,420,120,320,283,359
Slater Hall 105,0,0,16,46,17,42,3,0
Grad Center D 644,0,0,0,0,0,0,351,313
Grad Center D 645,0,0,0,0,0,0,351,347
Grad Center D 646,0,0,0,0,0,0,120,313
Grad Center D 640,516,653,571,604,575,0,0,0
Grad Center D 641,0,0,0,0,0,0,210,175
Grad Center D 642,0,0,0,0,0,0,351,351,313
Grad Center D 643,0,0,0,0,0,0,351,347
Minden 605,9,0,26,18,0,85,10,10
Minden 607,0,223,102,0,0,214,131,138
Minden 606,330,367,357,551,379,566,366,289
Minden 601,412,398,418,440,453,534,377,333
Minden 602,527,575,520,0,586,566,366,566
Gregorian Quad A 410A,45,112,55,47,0,15,0,12
Gregorian Quad A 410B,86,177,93,178,122,44,106,88
Gregorian Quad A 410C,86,185,106,179,100,100,31,73
Minden 609,6,3,3,6,0,0,0,6
Gregorian Quad A 410E,39,173,62,145,39,29,40,51
Gregorian Quad A 410F,40,157,62,138,67,66,37,51
Goddard House 219,0,0,0,0,244,276,0,693
Goddard House 214,0,334,0,364,266,256,0,0
Goddard House 217,0,673,0,643,640,671,0,0
Goddard House 216,0,360,0,439,282,274,0,582
Minden 706,382,350,328,599,350,411,300,287
Goddard House 212,0,362,0,286,248,0,0,0
Grad Center D 226,0,0,0,0,0,0,261,231
Grad Center D 224,0,0,0,0,0,0,211,162
Grad Center D 225,0,0,0,0,0,0,261,195
Grad Center D 222,0,0,0,0,0,0,207,162
Grad Center D 223,0,0,0,0,0,0,329,162
Grad Center D 220,577,628,593,577,605,646,0,0
Grad Center D 221,0,0,0,0,0,0,313,162
Metcalf 409,312,0,263,240,0,0,0,0
Goddard House 321,213,274,0,158,0,0,0,0
Goddard House 323,643,656,629,643,475,665,617,691
Metcalf 408,312,184,272,260,0,0,0,0
Goddard House 327,643,656,614,643,639,586,617,698
Goddard House 329,0,389,307,386,0,0,0,0
Goddard House 338,285,0,336,0,0,0,0,701
Grad Center A 330,433,471,0,0,459,569,556,0
Bronson House 403,448,379,0,0,0,0,0,0
Woolley 307,339,329,329,412,329,315,140,0
Woolley 306,377,282,329,349,229,154,141,0
New Pembroke #4 407,0,0,0,0,0,0,0,684
New Pembroke #4 405,0,0,0,0,0,0,0,684
New Pembroke #4 403,53,447,383,436,362,217,148,0
New Pembroke #4 402,634,473,661,494,362,367,171,686
New Pembroke #4 401,295,461,441,0,0,228,170,686
New Pembroke #4 409,0,0,0,0,0,0,0,720
Littlefield Hall 112,0,0,0,0,0,0,581,610
Marcy House 308,0,0,0,0,0,0,0,674
Poland House 203,369,335,502,414,370,398,0,0
Marcy House 301,602,0,0,0,0,0,0,710
Marcy House 302,602,0,0,0,0,0,0,711
Marcy House 303,217,0,0,0,0,0,0,0
Marcy House 304,611,0,0,0,0,0,0,0
Diman House 117,628,669,623,618,574,594,553,656
Diman House 115,638,675,656,621,0,627,615,735
Wayland House 322,207,240,12,54,141,207,0,537
Wayland House 323,55,62,7,53,49,207,0,0
Wayland House 320,92,40,0,0,0,0,0,0
New Pembroke #4 318,0,0,0,0,0,0,0,734
Wayland House 326,96,123,186,176,145,207,0,538
Marcy House 125,628,676,616,641,637,0,634,0
Marcy House 127,0,0,0,405,0,0,0,0
New Pembroke #4 313,615,454,438,574,351,348,186,688
New Pembroke #4 311,0,0,0,0,0,0,0,732
New Pembroke #4 310,0,0,0,0,0,0,0,724
New Pembroke #4 317,0,0,0,0,0,0,0,738
New Pembroke #4 316,0,0,0,0,0,0,0,734
New Pembroke #4 315,0,0,0,0,0,0,0,707
Emery 320,420,0,0,248,0,78,35,0
Archibald House 218,431,378,452,487,374,403,0,0
315 Thayer 230,0,0,0,0,0,0,54,0
Archibald House 217,406,378,414,484,372,428,0,0
East Andrews 410,0,186,270,161,126,113,0,0
East Andrews 416,637,0,669,0,0,0,0,0
East Andrews 414,684,737,691,670,0,0,0,0
Goddard House 344A,325,0,0,0,0,0,0,0
Goddard House 344B,354,0,0,0,0,0,0,0
315 Thayer 120,0,0,0,0,0,0,92,0
New Pembroke #4 227,236,170,321,70,164,130,22,557
Barbour Hall Apartments 50,377,358,386,376,381,124,375,661
Grad center A 443,0,0,0,0,0,0,0,418
Hope College 112,583,0,0,0,0,0,510,563
Grad center A 441,0,0,0,0,0,0,0,153
Hope College 116,134,106,231,126,169,0,468,560
Grad center A 445,0,0,0,0,0,0,0,163
Hope College 114,0,106,319,193,222,205,465,551
Emery 401,424,329,76,375,312,323,155,0
New Pembroke #2 315,0,0,663,664,0,0,0,394
Hope College 119,600,0,0,0,0,0,0,571
Young Orchard #10 420,258,243,162,159,168,400,345,209
Machado 125,0,281,0,485,0,0,0,0
Young Orchard #2 210,60,97,67,119,78,77,0,0
Young Orchard #2 320,94,113,92,104,69,261,179,55
Gregorian Quad B 106,247,79,294,396,302,331,146,400
Gregorian Quad B 107,263,271,279,227,296,247,335,341
Gregorian Quad B 104,81,321,306,328,318,331,333,393
Gregorian Quad B 105,247,0,294,328,345,371,318,193
Gregorian Quad B 102,237,318,0,390,348,364,333,400
Gregorian Quad B 103,0,0,280,264,296,291,307,349
Gregorian Quad B 108,315,319,300,370,318,312,260,360
Caswell Hall 307,517,510,515,573,528,556,505,592
Caswell Hall 306,508,523,515,556,528,547,494,578
Caswell Hall 305,529,552,553,573,528,547,539,592
Caswell Hall 304,532,553,543,0,557,549,540,607
Caswell Hall 303,523,545,0,0,520,549,536,607
Caswell Hall 302,500,535,535,534,520,494,494,577
Caswell Hall 301,532,535,531,538,520,549,536,574
Perkins Hall 102,0,0,0,0,0,0,0,711
Perkins Hall 103,0,0,0,0,0,0,0,760
Caswell Hall 309,537,550,534,578,533,0,540,602
Caswell Hall 308,529,552,570,584,528,556,539,615
Barbour Hall Apartments 150,553,571,547,441,479,578,571,710
Gregorian Quad B 210,254,258,290,352,286,148,270,0
Grad Center A 440,418,0,492,570,354,513,363,0
Gregorian Quad A 608,0,0,0,0,0,0,513,422
Gregorian Quad A 602,0,0,0,0,0,0,534,438
Gregorian Quad A 603,0,0,0,0,0,0,501,438
Gregorian Quad A 601,0,0,0,0,0,0,526,435
Gregorian Quad A 606,0,0,0,0,0,0,529,453
Gregorian Quad A 607,0,0,0,0,0,0,513,422
Gregorian Quad A 604,0,0,0,0,0,0,521,450
Gregorian Quad A 605,0,0,0,0,0,0,353,453
Barbour Hall Apartments 370,358,627,385,403,424,404,453,609
Gregorian Quad A 512,0,0,0,0,0,0,257,235
Gregorian Quad A 510,0,0,0,0,0,0,393,378
Gregorian Quad A 511,0,0,0,0,0,0,500,390
Mead House 3,0,452,0,0,439,466,0,0
Young Orchard #4 210,113,94,145,150,104,372,0,0
Champlin 423,0,188,235,0,148,0,97,0
Grad Center D 213,0,0,0,0,0,0,305,136
Grad Center D 212,0,0,0,0,0,0,326,0
Grad Center D 211,0,0,0,0,0,0,34,136
Grad Center D 210,0,0,491,564,523,540,0,0
Perkins Hall 3,0,0,0,0,0,0,0,747
Perkins Hall 2,0,0,0,0,0,0,0,764
Grad Center D 214,0,0,0,0,0,0,209,199
Perkins Hall 8,0,0,0,0,0,0,0,708
Minden 708,382,350,328,439,265,502,300,290
Minden 709,0,0,17,11,5,3,6,5
Diman House 233,0,0,0,560,581,592,0,0
Minden 705,0,17,27,21,0,71,11,17
Diman House 231,0,0,0,560,0,604,0,0
Minden 707,270,226,328,428,128,214,303,121
Minden 701,400,443,342,385,501,199,418,363
Minden 702,400,648,364,457,595,552,489,564
Diman House 234,0,0,0,635,581,592,0,0
Goddard House 332,0,0,284,340,31,304,143,0
Goddard House 333,0,0,288,340,262,262,20,0
Goddard House 330,0,389,307,166,185,277,185,0
Goddard House 331,0,351,307,386,262,277,165,0
Goddard House 336,0,0,129,0,0,0,0,584
Goddard House 334,0,0,284,340,0,219,0,0
Goddard House 335,0,0,307,0,0,375,0,584
Metcalf 402,200,0,83,137,0,0,0,0
Metcalf 401,22,0,33,31,0,0,0,0
Metcalf 400,317,101,83,251,0,0,0,0
Metcalf 407,200,0,221,121,0,0,0,0
Metcalf 406,312,184,256,251,0,0,0,0
Metcalf 404,245,0,0,200,0,0,0,0
Emery 220,391,214,37,155,175,118,13,0
Mead House 218,368,357,486,480,414,439,0,0
Mead House 211,647,706,0,662,0,0,0,0
Mead House 216,368,375,486,480,399,451,0,0
Slater Hall 207,0,0,0,0,9,1,2,0
Woolley 318,376,335,0,221,242,154,85,0
Woolley 319,376,407,337,351,242,0,118,0
Woolley 315,376,407,329,351,329,315,0,0
Woolley 316,376,335,329,351,253,154,118,0
New Pembroke #4 416,0,0,0,0,0,0,0,743
New Pembroke #4 417,0,0,0,0,0,0,0,746
New Pembroke #4 410,0,0,0,0,0,0,0,746
New Pembroke #4 411,0,0,0,0,0,0,0,711
New Pembroke #4 413,630,458,638,596,366,367,170,711
New Pembroke #4 418,0,0,0,0,0,0,0,743
New Pembroke #4 419,0,0,0,0,0,0,0,753
315 Thayer 340,0,0,0,0,0,0,284,118
Marcy House 330,0,0,0,356,0,0,0,0
New Pembroke #4 308,0,0,0,0,0,0,0,738
New Pembroke #4 309,0,0,0,0,0,0,0,686
Wayland House 314,0,0,0,0,0,0,0,646
Wayland House 313,215,312,229,258,173,244,0,0
Wayland House 312,0,0,0,203,173,255,0,0
Wayland House 311,0,0,0,0,0,0,0,646
New Pembroke #4 301,194,466,430,0,355,339,180,686
New Pembroke #4 302,613,473,524,476,356,380,193,686
New Pembroke #4 303,621,441,422,415,342,343,0,686
New Pembroke #4 305,0,0,0,0,0,0,0,665
Wayland House 318,146,67,64,176,196,207,0,537
Diman House 206B,481,0,0,0,0,0,0,0
Grad Center D 120,593,512,529,632,555,540,0,0
Grad Center D 123,0,0,0,0,0,0,312,365
Marcy House 208,0,0,0,0,0,0,0,675
East Andrews 408,30,129,191,129,46,75,0,0
East Andrews 404,186,186,0,0,0,0,0,0
East Andrews 406,11,41,191,0,0,0,0,0
Sears House 326A,0,0,358,0,264,253,0,0
Sears House 326B,0,0,336,0,264,253,0,0
Archibald House 221,423,378,424,426,0,377,0,0
Perkins Hall 131,0,0,0,0,0,0,0,765
Archibald House 227,431,398,368,527,374,403,0,0
Perkins Hall 130,0,0,0,0,0,0,0,765
Perkins Hall 133,0,0,0,0,0,0,0,720
Perkins Hall 132,0,0,0,0,0,0,0,760
Marcy House 119,649,702,641,658,625,669,616,0
Barbour Hall Apartments 40,0,77,0,0,0,287,0,632
Perkins Hall 134,0,0,0,0,0,0,0,710
Perkins Hall 137,0,0,0,0,0,0,0,742
Hope College 120,469,0,0,0,0,0,510,571
Grad Center C 540,297,427,464,427,591,588,572,483
Gregorian Quad B 110,310,316,306,378,318,360,326,416
Morris Hall 101,332,0,0,0,0,0,0,0
Perkins Hall 118,0,0,0,0,0,0,0,757
Gregorian Quad A 611,0,0,0,0,0,0,319,219
Gregorian Quad A 612,0,0,0,0,0,0,311,43
Perkins Hall 113,0,0,0,0,0,0,0,747
Perkins Hall 117,0,0,0,0,0,0,0,745
Perkins Hall 116,0,0,0,0,0,0,0,745
Perkins Hall 115,0,0,0,0,0,0,0,735
Perkins Hall 114,0,0,0,0,0,0,0,735
Barbour Hall Apartments 160,0,358,508,0,385,479,498,679
New Pembroke #4 307,0,0,0,0,0,0,0,665
Gregorian Quad B 208,130,258,290,342,276,242,270,312
Gregorian Quad B 205,0,0,185,199,241,0,0,0
Gregorian Quad B 204,147,137,268,167,276,293,275,239,338
Grad Center B 640,413,468,230,0,403,574,515,417
Gregorian Quad B 206,85,197,185,347,239,0,235,275
Grad Center B 310,614,428,599,357,536,635,393,474
Gregorian Quad B 203,219,105,153,289,249,273,125,277
Gregorian Quad B 202,298,276,243,363,332,352,281,365
New Pembroke #2 104,462,0,661,89,384,0,0,103
New Pembroke #2 105,656,0,649,664,632,0,0,442
Morriss Hall 101,0,0,0,0,0,0,314,0
New Pembroke #2 102,656,0,649,539,448,0,0,0
New Pembroke #2 103,590,0,423,0,0,0,0,0
Young Orchard #4 420,106,124,247,124,108,93,263,127
Grad Center C 610,321,678,606,308,436,0,0,503
Everett House 124,0,0,627,0,0,0,0,0
East Andrews 358,121,127,105,106,146,72,0,0
East Andrews 356,167,186,283,168,91,118,0,0
Gregorian Quad A 501,0,0,0,0,0,0,305,314
Gregorian Quad A 503,0,0,0,0,0,0,475,0
Gregorian Quad A 502,0,0,0,0,0,0,475,378
Gregorian Quad A 505,0,0,0,0,0,0,473,378
Gregorian Quad A 504,0,0,0,0,0,0,470,0
Gregorian Quad A 507,0,0,0,0,0,0,271,266
Caswell Hall 209,539,0,0,0,533,554,525,614
Caswell Hall 206,517,521,537,529,509,494,494,578
Gregorian Quad A 508,0,0,0,0,0,0,330,251
Caswell Hall 204,538,560,543,597,531,556,517,604
Caswell Hall 205,529,561,0,579,531,530,517,608
Caswell Hall 203,0,0,0,0,0,0,0,604
Caswell Hall 201,538,493,521,579,526,519,536,604
Goddard House 233,0,0,172,0,0,0,0,0
Goddard House 232,0,0,172,443,250,355,128,701
Goddard House 231,0,0,171,0,250,324,195,625
Goddard House 230,0,0,0,0,268,274,138,663
Goddard House 236,0,0,316,0,0,0,0,0
Goddard House 235,0,0,353,0,0,0,0,0
Goddard House 234,0,0,213,0,0,0,0,0
Young Orchard #10 110,233,275,287,162,197,127,339,327
Barbour Hall Apartments 340,43,65,60,72,101,147,126,601
Caswell Hall 112,570,567,573,597,574,565,548,633
Young Orchard #4 220,0,0,132,196,108,265,215,111
Caswell Hall 111,500,494,475,0,0,503,485,629
Grad Center D 110,606,604,632,581,589,639,0,0
Minden 712,404,557,615,626,629,585,608,668
Grad Center D 112,0,0,0,0,0,0,264,312
Grad Center D 113,0,0,0,0,0,0,253,332
Grad Center D 114,0,0,0,0,0,0,0,383
Grad Center D 115,0,0,0,0,0,0,253,332
Minden 715,88,130,72,131,208,40,96,109
Sears House 317,625,683,0,639,0,619,629,659
Diman House 221,534,568,521,560,498,645,523,651
Sears House 314,625,678,0,651,0,619,629,702
Diman House 224,468,0,0,0,471,473,0,0
Sears House 312,292,252,0,420,0,257,0,0
Sears House 311,249,0,0,0,0,0,0,0
Sears House 310,267,161,0,372,0,239,0,0
Metcalf 418,289,0,242,196,0,0,0,0
Metcalf 419,289,0,174,231,0,0,0,0
Goddard House 304,641,0,605,638,0,665,596,0
Goddard House 303,360,0,349,242,0,0,111,0
Goddard House 302,641,0,629,638,0,0,596,0
Goddard House 301,641,0,629,638,0,0,617,0
