room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
Slater Hall 302,403,237,564,417,307,132,392,368
Slater Hall 303,496,577,394,525,307,394,0,368
Slater Hall 304,617,420,394,504,364,0,0,416
Slater Hall 305,15,0,8,4,13,23,0,0
Slater Hall 306,0,0,49,29,19,64,5,29
Slater Hall 307,16,0,0,27,15,11,2,0
Jameson House 209,0,0,0,673,640,0,0,0
111 Brown Street 102,622,696,580,672,572,640,484,596
Perkins Hall 12,0,0,0,0,0,0,0,755
Perkins Hall 11,0,0,0,0,0,0,0,755
Champlin 114,0,212,0,0,0,0,0,0
New Pembroke #2 215,675,0,663,661,602,0,0,480
Grad Center B 210,619,622,586,608,554,650,0,509
Grad Center C 110,209,322,313,0,349,336,274,309
Grad Center D 615,0,0,0,0,0,0,191,301
Grad Center D 614,0,0,0,0,0,0,201,347
Grad Center D 613,0,0,0,0,0,0,368,345
Grad Center D 612,0,0,0,0,0,0,370,122
Grad Center D 611,0,0,0,0,0,0,268,345
Grad Center D 610,531,554,563,547,549,544,0,0
Young Orchard #4 310,120,116,126,91,108,203,233,113
Grad center A 344,0,0,0,0,0,0,0,354
Chapin House 327,0,385,0,0,255,272,0,0
Chapin House 324,0,689,647,0,598,671,598,0
Chapin House 322,0,354,0,0,282,379,0,0
Chapin House 323,0,666,644,0,638,671,0,0
Chapin House 320,0,72,396,392,0,342,0,0
Chapin House 321,0,385,0,0,0,360,0,0
Harkness House 226B,0,0,468,0,0,0,0,0
Harkness House 226A,0,0,0,0,0,485,0,0
Chapin House 328,0,713,0,0,598,657,598,0
Chapin House 329,0,713,0,0,642,657,598,0
Goddard House 127,647,713,642,643,640,646,617,716
Gregorian Quad B 403A,0,74,62,56,129,57,42,31
Gregorian Quad B 403C,0,0,46,81,41,65,32,54
Gregorian Quad B 403B,0,0,42,108,18,57,58,28
Gregorian Quad B 403E,0,194,69,139,140,123,76,83
Gregorian Quad B 403D,0,203,108,151,116,94,47,60
Gregorian Quad B 403F,0,38,62,81,33,30,32,39
Grad center A 231,0,0,0,0,0,0,0,385
Grad center A 232,0,0,0,0,0,0,0,385
Grad center A 233,0,0,0,0,0,0,0,385
Grad center A 234,0,0,0,0,0,0,0,385
Hegeman C401,349,292,232,245,269,176,322,294
Hegeman C402,366,0,232,245,324,226,324,321
Plantations House 304,168,147,29,0,65,31,45,544
Plantations House 303,164,55,562,0,500,599,590,639
Plantations House 301,565,364,373,0,500,620,0,712
New Pembroke #4 408,0,0,0,0,0,0,0,737
Hope College 219,0,0,0,0,0,0,555,595
Hope College 419,0,0,0,0,0,0,545,567
Hope College 212,0,0,0,0,0,0,0,572
Hope College 214,170,211,344,0,0,0,0,547
Hope College 215,0,0,0,0,0,0,567,639
Hope College 217,0,0,0,0,0,0,567,644
Bronson House 214,425,380,611,0,0,0,0,0
Minden 315,439,0,338,408,370,279,343,279
Minden 312,319,566,617,637,597,604,636,631
Hope College 412,0,0,0,0,0,0,505,567
West Andrews 353,161,180,86,184,91,118,0,0
West Andrews 357,161,83,86,106,94,72,0,0
West Andrews 355,161,155,86,106,91,72,0,0
West Andrews 359,161,83,250,177,146,162,0,0
Hope College 320,0,0,0,0,0,0,547,633
Perkins Hall 127,0,0,0,0,0,0,0,769
East Andrews 260,47,154,0,141,131,28,0,0
East Andrews 262,186,168,283,141,146,135,0,0
Metcalf 107,0,10,130,243,159,270,0,0
Metcalf 104,260,2,130,215,159,230,0,0
Metcalf 102,0,0,130,127,218,230,0,0
Grad Center C 430,334,538,422,409,558,434,566,447
Metcalf 109,280,10,130,243,189,270,0,0
Harkness House 209,479,0,0,0,0,0,0,0
Harkness House 208,591,0,0,0,0,0,0,0
Harkness House 204,575,576,619,590,622,580,0,0
Harkness House 207,573,619,0,0,553,0,0,0
Harkness House 201,575,588,549,611,594,590,551,669
Harkness House 202,575,619,549,611,588,590,551,669
Hegeman D309,283,336,292,298,334,0,0,0
East Andrews 462,0,158,146,170,107,136,0,0
East Andrews 460,30,207,9,73,46,106,0,0
Hegeman E215,320,265,117,230,160,221,144,157
Caswell Hall 403,513,542,531,597,531,526,511,603
Marcy House 121,628,690,616,641,625,0,616,0
Hegeman E213,296,324,274,317,287,284,236,170
Young Orchard #4 110,57,152,284,259,171,86,113,316
New Pembroke #4 319,0,0,0,0,0,0,0,738
Hegeman E212,301,278,220,261,338,431,313,78
Grad Center C 320,571,463,0,0,0,0,0,0
New Pembroke #3 207,0,0,0,0,0,0,0,690
Grad Center A 430,428,540,409,567,561,420,547,0
New Pembroke #3 205,417,0,0,0,0,0,0,657
Grad Center A 340,603,672,400,543,0,0,0,0
New Pembroke #3 203,417,431,554,0,369,340,119,593
New Pembroke #3 201,0,0,0,0,0,0,0,705
Everett House 324,407,0,0,0,329,414,0,0
Sears House 329,0,0,600,0,627,656,626,0
New Pembroke #3 208,0,0,0,0,0,0,0,709
Wayland House 327,184,123,38,125,141,148,0,0
Diman House 400A,567,585,517,580,614,517,558,641
Harkness House 330,581,615,533,0,0,0,0,683
New Pembroke #3 110,0,0,0,0,0,0,0,727
Diman House 400B,564,591,561,585,633,570,0,0
New Pembroke #3 117,0,0,0,0,0,0,0,734
New Pembroke #3 115,0,0,0,0,0,0,0,722
Wayland House 325,0,0,0,0,0,0,0,650
Everett House 214,0,386,0,0,434,465,0,0
Everett House 216,437,386,542,0,0,0,0,0
Grad center A 432,0,0,0,0,0,0,0,167
Marcy House 128,0,0,0,393,0,0,0,0
Grad center A 431,0,0,0,0,0,0,0,242
Diman House 306B,0,487,0,0,0,0,0,0
Grad center A 434,0,0,0,0,0,0,0,418
Diman House 306A,0,488,0,0,0,0,0,0
Gregorian Quad A 211,163,314,301,320,337,0,0,382
Gregorian Quad A 210,116,270,277,68,0,282,279,261
Gregorian Quad A 213,0,99,58,98,212,150,69,364
Gregorian Quad A 212,255,255,286,140,299,329,315,178
Gregorian Quad A 214,268,272,291,313,326,345,246,410
Grad Center C 210,482,594,607,430,541,614,406,459
Barbour Hall Apartments 180,595,616,405,571,527,581,381,664
Grad Center A 230,0,0,308,397,348,0,0,0
Perkins Hall 220,0,0,0,0,0,0,0,788
Perkins Hall 225,0,0,0,0,0,0,0,780
Perkins Hall 224,0,0,0,0,0,0,0,733
Perkins Hall 226,0,0,0,0,0,0,0,780
New Pembroke #3 111,0,0,0,0,0,0,0,699
Grad Center B 510,405,396,591,522,421,654,563,413
Champlin 103,0,219,226,219,284,111,68,0
Champlin 108,0,0,356,178,314,349,135,0
Gregorian Quad B 402B,0,33,68,81,129,65,53,35
Gregorian Quad B 402C,0,35,36,0,54,65,32,35
Gregorian Quad B 402A,0,35,32,52,89,38,33,36
Gregorian Quad B 402F,0,51,28,81,111,65,51,57
Gregorian Quad B 402D,0,230,59,6,134,120,77,75
Gregorian Quad B 402E,0,191,59,167,89,120,77,75
Barbour Hall Apartments 320,594,625,540,539,439,611,594,681
Grad Center D 510,521,574,550,0,0,0,0,0
Barbour Hall 308,0,614,511,506,411,579,531,609
Grad center A 433,0,0,0,0,0,0,0,167
Slater Hall 201,600,401,327,454,347,561,372,409
Barbour Hall 302,0,665,0,0,0,0,0,0
Barbour Hall 301,0,631,511,506,425,559,474,616
Slater Hall 202,0,473,0,524,307,355,427,434
Slater Hall 205,5,9,24,12,4,0,0,4
Barbour Hall 306,0,633,594,620,432,579,0,616
Barbour Hall 305,0,527,400,459,0,529,0,655
Slater Hall 206,10,0,54,57,16,0,12,21
Young Orchard #4 330,118,107,152,51,86,351,115,87
Jameson House 307,618,0,0,669,663,0,0,0
Grad center A 435,0,0,0,0,0,0,0,340
Grad Center D 323,0,0,0,0,0,0,205,283
Grad Center D 322,0,0,0,0,0,0,187,225
Sears House 229,604,660,625,0,611,662,0,0
Sears House 228,629,679,625,0,611,645,0,0
Chapin House 330,0,702,0,0,614,657,549,0
Grad Center D 326,0,0,0,0,0,0,354,380
Woolley 123,439,390,369,422,328,224,0,0
Minden 401,392,298,0,346,400,502,350,328
Young Orchard #4 340,141,128,190,132,86,366,115,101
Grad center A 614,0,0,0,0,0,0,0,114
Woolley 129,394,335,169,285,202,69,23,0
Grad center A 615,0,0,0,0,0,0,0,114
Champlin 323,457,0,285,295,0,140,99,0
Grad center A 245,0,0,0,0,0,0,0,385
Grad center A 244,0,0,0,0,0,0,0,385
Grad center A 611,0,0,0,0,0,0,0,424
Grad center A 241,0,0,0,0,0,0,0,290
Grad center A 243,0,0,0,0,0,0,0,385
Grad center A 242,0,0,0,0,0,0,0,385
Perkins Hall 221,0,0,0,0,0,0,0,747
Sears House 319,0,336,0,241,0,0,114,0
Machado House 34,0,0,0,0,0,0,0,717
Machado House 35,0,0,0,0,0,0,0,717
Machado House 36,0,0,0,0,0,0,0,568
Machado House 37,0,0,0,0,0,0,0,603
Machado House 30,0,0,0,0,0,0,0,718
Machado House 32,0,0,0,0,0,0,0,635
Machado House 33,0,0,0,0,0,0,0,635
Machado House 38,0,0,0,0,0,0,0,718
Machado House 39,0,0,0,0,0,0,0,717
West Andrews 211,679,621,0,666,651,0,0,0
West Andrews 217,21,34,124,50,20,90,0,0
Hope College 203,0,0,0,0,0,0,560,637
Hope College 202,0,0,0,0,0,0,560,636
Hope College 201,0,0,0,0,0,0,560,617
West Andrews 219,124,53,119,34,47,51,0,0
Hope College 207,0,0,0,0,0,0,577,637
Hope College 206,82,174,241,204,54,142,0,0
Hegeman C307,238,0,293,315,96,95,160,145
Bronson House 206,419,0,0,548,398,432,0,0
Bronson House 204,434,405,443,543,398,432,0,0
Grad Center d 442,0,0,0,0,0,0,292,0
Bronson House 203,0,405,545,418,398,437,0,0
315 Thayer 310,0,0,0,0,0,0,62,63
Hegeman C308,238,336,275,317,347,176,325,270
Marcy House 340,0,0,618,539,0,0,0,0
Marcy House 341,0,0,581,539,0,0,618,0
Marcy House 342,0,0,581,539,0,0,386,0
Grad center A 444,0,0,0,0,0,0,0,163
East Andrews 320,108,44,84,144,24,16,0,0
Perkins Hall 324,0,0,0,0,0,0,0,761
Perkins Hall 325,0,0,0,0,0,0,0,786
Perkins Hall 321,0,0,0,0,0,0,0,772
Perkins Hall 329,0,0,0,0,0,0,0,786
Harkness House 230,0,0,578,0,0,0,0,0
East Andrews 458,30,133,265,83,0,0,0,0
East Andrews 456,186,136,283,170,107,113,0,0
Minden 101,406,569,598,562,616,641,527,679
East Andrews 452,637,0,623,0,0,0,0,0
East Andrews 450,637,0,669,0,0,0,0,0
Hegeman D310,323,323,292,298,219,284,0,100
Grad Center B 340,475,431,603,433,374,433,413,482
Harkness House 304,0,537,590,628,0,0,0,689
Grad Center A 530,421,417,513,469,534,622,534,0
Harkness House 301,0,604,549,607,0,0,603,689
Harkness House 302,0,537,549,607,0,0,603,669
Harkness House 303,0,475,0,0,0,0,0,0
Barbour Hall Apartments 190,549,646,528,429,496,532,391,700
New Pembroke #3 309,0,0,0,0,0,0,0,715
Young Orchard #2 410,90,81,97,77,82,131,217,0
New Pembroke #3 307,0,0,0,0,0,0,0,690
New Pembroke #3 303,634,456,512,0,376,361,167,671
Grad Center A 240,615,691,609,624,396,562,395,0
New Pembroke #3 301,0,0,0,0,0,0,0,715
Minden 814,122,22,93,312,59,81,249,131
Minden 815,413,338,486,236,308,444,282,536
Minden 812,229,115,93,49,88,99,224,137
Young Orchard #10 320,153,216,216,279,152,389,306,144
Young Orchard #10 210,69,146,88,87,139,381,244,125
New Pembroke #3 202,0,0,0,0,0,0,0,723
Grad Center B 230,586,590,355,586,582,615,394,0
Barbour Hall Apartments 330,325,418,289,424,290,0,0,613
New Pembroke #4 225,0,0,0,0,0,0,0,676
Grad Center B 520,445,505,0,0,550,602,520,460
Jameson House 314,0,394,588,0,0,0,0,0
Young Orchard #4 320,135,121,121,91,0,334,115,122
Jameson House 318,422,394,575,0,0,538,0,0
Jameson House 319,366,416,427,278,416,538,0,0
Grad center A 442,0,0,0,0,0,0,0,173
Grad Center D 345,0,0,0,0,0,0,354,268
Grad center A 446,0,0,0,0,0,0,0,220
Barbour Hall 202,0,665,0,602,601,575,574,655
Barbour Hall 203,0,559,579,542,710,663,592,0
Barbour Hall 201,0,635,487,500,379,511,471,616
Barbour Hall 206,0,519,432,574,469,575,574,643
Barbour Hall 204,0,0,0,79,10,12,0,543
Morriss Hall 201,0,0,374,233,487,506,420,0
Grad Center D 344,0,0,0,0,0,0,184,269
Machado 126,0,0,0,664,0,0,0,0
Barbour Hall 208,0,570,259,506,413,280,375,643
Machado 124,0,182,0,333,0,0,0,0
Machado 123,0,0,0,607,0,0,0,0
Machado 122,0,257,352,546,0,0,0,0
Machado 121,0,335,288,536,0,0,0,0
Machado 120,0,269,380,0,0,0,0,0
New Pembroke #3 113,0,0,0,0,0,0,0,727
Gregorian Quad B 401F,0,47,62,108,123,115,81,56
Gregorian Quad B 401E,0,234,144,167,135,115,84,83
Gregorian Quad B 401D,0,70,133,167,143,120,79,80
Gregorian Quad B 401C,0,23,62,35,62,52,18,33
Gregorian Quad B 401B,0,21,23,61,68,36,19,11
Gregorian Quad B 401A,0,70,0,108,62,115,71,66
Barbour Hall 303,0,665,511,647,644,0,604,763
Machado 237,0,0,0,0,0,0,102,0
Machado 236,0,0,0,0,0,0,110,0
Machado 235,0,0,0,0,0,0,75,0
Harkness House 206A,483,0,0,0,486,0,0,0
Harkness House 206B,487,479,0,0,499,0,0,0
Machado 238,0,0,0,0,0,0,122,0
Slater Hall 203,493,569,497,416,309,73,444,368
Woolley 229,451,329,0,202,190,178,56,0
Woolley 223,432,187,334,0,329,293,95,0
Slater Hall 204,580,399,275,527,381,550,247,294
Morriss Hall 301,0,0,390,367,495,316,491,0
Barbour Hall 304,0,0,30,109,10,7,21,565
315 Thayer 413,0,0,0,0,0,0,7,0
315 Thayer 415,0,0,0,0,0,0,36,16
315 Thayer 414,0,0,0,0,0,0,39,0
315 Thayer 417,0,0,0,0,0,0,22,14
315 Thayer 419,0,0,0,0,0,0,25,23
315 Thayer 418,0,0,0,0,0,0,27,20
Archibald House 131,433,405,597,444,301,431,0,0
Grad center D 114,0,0,0,0,0,0,329,0
West Andrews 205,169,114,148,141,72,84,0,0
Emery 404,383,329,94,375,312,194,154,0
West Andrews 207,0,169,135,123,156,108,0,0
West Andrews 201,0,0,332,143,132,137,0,0
West Andrews 203,0,176,134,141,23,84,0,0
Emery 409,424,370,91,375,313,0,0,0
Caswell Hall 108,562,570,570,582,566,565,525,618
New Pembroke #3 209,0,0,0,0,0,0,0,709
Diman House 127,0,0,0,0,0,610,0,0
Diman House 126,0,0,0,0,0,472,0,0
Diman House 125,0,0,0,0,0,482,0,0
Diman House 124,0,0,0,0,0,484,0,0
Diman House 121,605,669,632,618,577,627,607,656
Hope College 302,0,0,0,0,0,0,550,636
Hope College 303,0,0,0,0,0,0,589,637
Hope College 301,0,0,0,0,0,0,550,633
Hope College 306,0,0,0,0,0,0,0,548
Hope College 307,0,0,0,0,0,0,604,637
Emery 311,427,384,318,302,313,294,124,0
Hope College 308,59,159,344,0,0,183,457,541
Emery 317,429,370,318,401,313,241,124,0
315 Thayer 240,0,0,0,0,0,0,145,109
Bronson House 306,392,405,577,537,427,432,0,0
Bronson House 304,415,183,527,535,398,432,0,0
Plantations House 101,138,164,259,0,105,143,70,576
Hegeman C208,328,268,315,322,333,176,304,217
Plantations House 102,556,364,373,0,385,316,425,0
Archibald House 319,658,0,668,677,0,0,0,0
Bronson House 309,414,0,537,513,437,412,0,0
Perkins Hall 337,0,0,0,0,0,0,0,781
Perkins Hall 336,0,0,0,0,0,0,0,767
Perkins Hall 331,0,0,0,0,0,0,0,778
Perkins Hall 330,0,0,0,0,0,0,0,697
Young Orchard #2 310,70,82,81,61,69,149,179,84
Perkins Hall 339,0,0,0,0,0,0,0,778
Perkins Hall 338,0,0,0,0,0,0,0,781
Harkness House 224,0,0,0,0,0,626,0,689
Harkness House 223,0,0,0,0,0,582,0,655
Harkness House 222,0,0,0,0,0,475,0,0
Harkness House 221,0,0,0,0,0,461,0,0
Harkness House 220,0,0,0,0,0,467,0,0
Minden 113,442,432,417,365,410,504,465,146
Olney House 400A,540,551,0,0,0,0,0,0
Harkness House 228,0,0,610,0,0,0,0,0
Young Orchard #2 220,0,0,67,117,78,91,82,0
Grad Center C 340,569,0,0,399,418,605,570,436
Grad Center A 410,0,347,0,561,354,577,441,0
Harkness House 319,0,0,0,502,0,0,0,0
Grad Center A 520,383,417,0,0,0,0,0,0
Harkness House 313,0,0,613,631,0,0,0,0
Harkness House 317,0,0,613,631,0,0,0,0
Harkness House 314,0,0,0,631,0,0,0,0
Grad center A 411,0,0,0,0,0,0,0,103
Grad center A 412,0,0,0,0,0,0,0,206
Grad center A 413,0,0,0,0,0,0,0,371
Grad center A 414,0,0,0,0,0,0,0,371
Grad center A 415,0,0,0,0,0,0,0,102
Gregorian Quad A 314,180,283,0,358,279,234,294,286
Minden 809,331,218,93,388,0,229,117,166
New Pembroke #3 318,555,472,658,471,291,285,164,682
Grad Center C 410B,0,0,0,37,0,0,0,0
Grad Center C 410A,0,0,0,423,0,60,0,0
Miller 415,0,0,0,0,223,0,0,0
Minden 802,308,524,347,324,405,0,305,559
Miller 418,0,0,0,0,48,97,0,0
Miller 419,0,0,0,0,155,114,0,0
Minden 807,1,0,18,3,1,3,1,3
Minden 806,412,298,370,598,0,585,383,263
Minden 805,0,12,25,22,0,65,14,13
New Pembroke #3 313,0,0,0,0,0,0,0,715
Young Orchard #10 440,264,0,264,282,142,415,0,318
Sears House 308,625,595,628,651,593,656,0,0
Young Orchard #10 330,156,222,180,281,64,385,321,176
Sears House 309,267,138,0,336,0,0,0,0
Everett House 309,0,0,705,708,677,0,0,0
Perkins Hall 22,0,0,0,0,0,0,0,711
Perkins Hall 21,0,0,0,0,0,0,0,673
Hegeman A301,307,326,263,300,275,0,0,317
Hegeman A303,307,326,322,300,275,0,0,345
Hegeman A302,0,0,0,0,29,0,0,47
Grad Center B 220,0,0,0,0,0,0,0,403
Chapin House 230,0,0,0,0,0,676,612,0
Grad Center B 530,406,442,524,425,375,416,497,352
Barbour Hall Apartments 230,31,302,0,0,0,0,137,613
Jameson House 325,389,0,0,0,0,0,0,0
Grad center A 641,0,0,0,0,0,0,0,267
Grad center A 643,0,0,0,0,0,0,0,133
Grad center A 642,0,0,0,0,0,0,0,45
Grad center A 645,0,0,0,0,0,0,0,323
Grad center A 644,0,0,0,0,0,0,0,323
Grad center A 646,0,0,0,0,0,0,0,323
Barbour Hall 108,0,616,579,602,446,579,565,650
Barbour Hall 101,0,657,247,500,0,0,0,0
Barbour Hall 103,0,657,557,647,644,0,599,751
Barbour Hall 105,0,668,310,624,639,623,559,749
Barbour Hall 104,0,0,1,30,0,0,0,0
Barbour Hall 106,0,0,579,602,583,581,553,599
Caswell Hall 408,504,509,567,576,528,528,573,581
Caswell Hall 409,522,528,534,569,531,554,501,594
Caswell Hall 401,503,526,531,519,514,526,493,574
Caswell Hall 402,513,528,525,509,514,526,493,545
Hegeman E214,91,85,117,261,21,184,219,77
Caswell Hall 404,532,526,574,519,524,534,512,603
Caswell Hall 405,522,556,490,538,568,554,529,581
Caswell Hall 406,514,513,481,538,521,531,511,581
Caswell Hall 407,485,509,507,576,523,528,508,581
Hope College 316,224,159,344,264,44,183,460,0
Grad Center D 240,535,644,582,593,606,621,0,0
Grad Center D 241,0,0,0,0,0,0,214,191
Grad Center D 242,0,0,0,0,0,0,316,149
Grad Center D 243,0,0,0,0,0,0,350,94
Grad Center D 244,0,0,0,0,0,0,326,273
Grad Center D 245,0,0,0,0,0,0,350,336
Grad Center D 246,0,0,0,0,0,0,350,307
Champlin 305,380,0,0,266,0,180,99,0
Champlin 306,380,0,285,304,253,240,0,0
Woolley 219,340,414,334,0,260,204,95,0
Woolley 218,340,391,334,422,209,196,15,0
Archibald House 307,220,233,0,310,242,296,0,0
Woolley 215,441,412,335,0,285,302,95,0
Woolley 216,340,361,320,0,0,302,124,0
315 Thayer 420,0,0,0,0,0,0,24,25
Woolley 109,0,0,0,0,0,430,232,0
New Pembroke #1 415,657,538,659,659,619,0,0,456
Archibald House 127,433,405,499,0,0,0,0,0
Woolley 107,439,345,295,282,0,0,0,0
Woolley 106,351,345,356,0,0,0,127,0
Emery 417,424,370,91,422,178,299,103,0
Emery 411,424,370,318,375,313,299,103,0
315 Thayer 330,0,0,0,0,0,0,59,0
West Andrews 305,161,16,0,96,91,72,0,0
West Andrews 307,107,180,250,106,91,118,0,0
West Andrews 301,161,57,234,169,0,72,0,0
West Andrews 303,148,57,179,10,57,72,0,0
Hope College 314,211,25,344,99,35,174,460,560
Hope College 317,0,0,0,0,0,0,588,0
Emery 309,427,342,318,0,0,0,0,0
Hope College 312,0,0,0,0,0,0,505,560
Emery 301,427,328,0,447,254,297,163,0
Hope College 319,0,0,0,0,0,0,550,0
Emery 304,427,329,94,0,0,0,0,0
Archibald House 306,241,356,384,526,391,0,0,0
Bronson House 319,0,534,0,635,0,0,0,0
Archibald House 304,389,341,384,419,391,409,0,0
Archibald House 305,293,0,0,0,0,0,0,0
Archibald House 302,389,341,384,419,399,435,0,0
Archibald House 303,393,341,397,419,399,393,0,0
Archibald House 301,393,341,0,419,380,0,0,0
Bronson House 313,420,410,0,0,0,0,0,0
Machado 37,0,0,0,604,0,235,157,0
